Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.112662642123337,0.0435961913100356,0.247459001132683,0,0,0,0.835049439032034,0.00459108479638424,1.55416494251888E-19,-6.35925669996982E-20,0.00815237193812415,1.12431955833625E-07,0.0046093924065789,0,0,0,0,0,0,package://URDF_V2/meshes/base_link.STL,0.749019607843137,0.749019607843137,0.749019607843137,1,0,0,0,0,0,0,package://URDF_V2/meshes/base_link.STL,,base.stp-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,0.0616755661687693,-0.0190369806101637,0.0220965228246271,0,0,0,0.121233140077357,4.42290041480953E-05,1.24717348389517E-10,-3.72771252890928E-10,4.23111631746693E-05,-7.72471756806447E-08,6.67617083591906E-05,0,0,0,0,0,0,package://URDF_V2/meshes/link1.STL,0.749019607843137,0.749019607843137,0.749019607843137,1,0,0,0,0,0,0,package://URDF_V2/meshes/link1.STL,,link1.stp-1,Origin_joint1,Axis_joint1,joint1,revolute,0.052285,-0.24746,0.22913,0.00028182,0,0,base_link,1,0,0,0,0,-0.52332,0.52388,,,,,,,,
link2,0.000136178233548334,0.00367218797104085,0.0680675460097938,0,0,0,1.1785585917192,0.0130387045092571,-2.60962367223975E-07,-1.9446759051689E-08,0.0130303362155499,6.86769744606356E-10,0.0254514746054841,0,0,0,0,0,0,package://URDF_V2/meshes/link2.STL,0.745098039215686,0.737254901960784,0.729411764705882,1,0,0,0,0,0,0,package://URDF_V2/meshes/link2.STL,,link2.stp-1,Origin_joint2,Axis_joint2,joint2,revolute,0.061485,0,0.053,0,0.013885,-3.1416,link1,0,1,0,0,0,-0.81798,0.57716,,,,,,,,
